,data,feriado,tipo_feriado
0,2017-01-01,Confraternização Universal,Nacional
1,2017-02-27,Carnaval,Ponto Facultativo
2,2017-02-28,Carnaval,Nacional
3,2017-03-01,Carnaval,Ponto Facultativo
4,2017-04-14,Paixão de Cristo,Nacional
5,2017-04-21,Tiradentes,Nacional
6,2017-05-01,Dia do Trabalho,Nacional
7,2017-06-15,Corpus Christi,Ponto Facultativo
8,2017-06-24,São João,Municipal
9,2017-07-16,Nossa Senhora do Carmo,Municipal
10,2017-09-07,Independência do Brasil,Nacional
11,2017-10-12,Nossa Sra Aparecida - Padroeira do Brasil,Nacional
12,2017-10-28,Dia do Servidor Público,Ponto Facultativo
13,2017-11-02,Finados,Nacional
14,2017-11-15,Proclamação da República,Nacional
15,2017-12-08,Nossa Senhora da Conceição,Municipal
16,2017-12-24,Véspera de Natal,Ponto Facultativo
17,2017-12-25,Natal,Nacional
18,2017-12-31,Véspera de Ano Novo,Ponto Facultativo
19,2018-01-01,Confraternização Universal,Nacional
20,2018-02-12,Carnaval,Ponto Facultativo
21,2018-02-13,Carnaval,Nacional
22,2018-02-14,Carnaval,Ponto Facultativo
23,2018-03-30,Paixão de Cristo,Nacional
24,2018-04-21,Tiradentes,Nacional
25,2018-05-01,Dia do Trabalho,Nacional
26,2018-05-31,Corpus Christi,Ponto Facultativo
27,2018-06-24,São João,Municipal
28,2018-07-16,Nossa Senhora do Carmo,Municipal
29,2018-09-07,Independência do Brasil,Nacional
30,2018-10-12,Nossa Sra Aparecida - Padroeira do Brasil,Nacional
31,2018-10-28,Dia do Servidor Público,Ponto Facultativo
32,2018-11-02,Finados,Nacional
33,2018-11-15,Proclamação da República,Nacional
34,2018-12-08,Nossa Senhora da Conceição,Municipal
35,2018-12-24,Véspera de Natal,Ponto Facultativo
36,2018-12-25,Natal,Nacional
37,2018-12-31,Véspera de Ano Novo,Ponto Facultativo
38,2019-01-01,Confraternização Universal,Nacional
39,2019-03-04,Carnaval,Ponto Facultativo
40,2019-03-05,Carnaval,Nacional
41,2019-03-06,Carnaval,Ponto Facultativo
42,2019-04-19,Paixão de Cristo,Nacional
43,2019-04-21,Tiradentes,Nacional
44,2019-05-01,Dia do Trabalho,Nacional
45,2019-06-20,Corpus Christi,Ponto Facultativo
46,2019-06-24,São João,Municipal
47,2019-07-16,Nossa Senhora do Carmo,Municipal
48,2019-09-07,Independência do Brasil,Nacional
49,2019-10-12,Nossa Sra Aparecida - Padroeira do Brasil,Nacional
50,2019-10-28,Dia do Servidor Público,Ponto Facultativo
51,2019-11-02,Finados,Nacional
52,2019-11-15,Proclamação da República,Nacional
53,2019-12-08,Nossa Senhora da Conceição,Municipal
54,2019-12-24,Véspera de Natal,Ponto Facultativo
55,2019-12-25,Natal,Nacional
56,2019-12-31,Véspera de Ano Novo,Ponto Facultativo
57,2020-01-01,Confraternização Universal,Nacional
58,2020-02-24,Carnaval,Ponto Facultativo
59,2020-02-25,Carnaval,Nacional
60,2020-04-10,Paixão de Cristo,Nacional
61,2020-04-21,Tiradentes,Nacional
62,2020-05-01,Dia do Trabalho,Nacional
63,2020-06-11,Corpus Christi,Ponto Facultativo
64,2020-06-24,São João,Municipal
65,2020-07-16,Nossa Senhora do Carmo,Municipal
66,2020-09-07,Independência do Brasil,Nacional
67,2020-10-12,Nossa Sra Aparecida - Padroeira do Brasil,Nacional
68,2020-10-28,Dia do Servidor Público,Ponto Facultativo
69,2020-11-02,Finados,Nacional
70,2020-11-15,Proclamação da República,Nacional
71,2020-12-08,Nossa Senhora da Conceição,Municipal
72,2020-12-24,Véspera de Natal,Ponto Facultativo
73,2020-12-25,Natal,Nacional
74,2020-12-31,Véspera de Ano Novo,Ponto Facultativo
